date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold,hp_idx,rent_vacancy,owner_vacancy,week_earning,delinquent_rate,hor,hp_idx_qtr
2004-06-01,527794,1615,25019.529,1526,1521.0,129,385,3.9,62.4,223196,99.7243190531832,6.2875,1.02,10631.8,504.3,1043.6,1180,149.85,10.133333333333333,1.7,682.0,1.5733333333333337,69.06666666666666,151.21433333333331
2011-05-01,245449,411,8032.763,414,443.0,49,168,6.6,58.3,239313,99.5168164959769,4.6375,0.09,12043.2,772.8,1081.2,305,139.905,9.4,2.466666666666667,795.3333333333334,10.536666666666669,66.03333333333333,139.69566666666668
2006-02-01,678562,1643,20158.568,1804,1742.0,146,533,6.1,63.0,227763,101.129715656224,6.2525,4.47,11151.4,388.5,1143.5,1061,183.287,9.533333333333331,2.1333333333333333,709.6666666666666,1.6133333333333335,68.56666666666666,183.54822222222225
2018-02-01,576594,886,15179.495,906,893.0,102,295,5.4,60.4,256934,100.310050177293,4.33,1.42,14198.4,1104.2,1456.4,618,199.211,6.933333333333334,1.5,924.0,3.393333333333333,64.23333333333333,199.91611111111112
2013-12-01,360754,613,9373.933,647,560.0,61,186,6.0,58.7,246745,99.80715516374,4.4575,0.07,12452.7,763.4,1190.4,433,160.993,8.266666666666667,2.033333333333333,836.3333333333334,7.946666666666666,64.93333333333334,161.71033333333332
2001-10-01,370957,1185,14133.397,1240,1334.0,202,314,4.3,63.2,215903,99.2558281041105,6.6175,3.02,9722.4,237.9,1035.1,871,115.309,8.8,1.8,642.0,2.26,68.0,115.874
2001-01-01,348279,1251,11750.246,1275,1122.0,221,298,3.8,64.4,213888,100.831340058166,7.0325,5.41,9697.4,379.4,916.5,936,109.846,8.2,1.5,620.0,2.35,67.5,110.48433333333332
2001-12-01,376279,1251,10981.142,1285,1351.0,199,310,3.8,62.9,216315,99.1363043935224,7.065,2.06,9750.3,298.0,955.6,979,116.456,9.0,1.7333333333333334,644.0,2.2466666666666666,67.86666666666666,117.21888888888888
2001-09-01,368809,1192,12625.708,1243,1262.0,226,310,4.4,63.5,215665,99.3756765019665,6.8175,3.66,9896.5,551.5,904.1,853,114.811,8.666666666666668,1.8333333333333333,640.0,2.2333333333333334,68.03333333333333,115.30144444444444
2002-07-01,404632,1307,17360.68,1323,1275.0,169,333,4.2,62.7,217630,98.9112766026314,6.485,1.83,10053.5,441.7,1001.6,956,122.887,9.0,1.7,646.0,2.1,68.0,123.832
