iter	Passed	Remaining
796	2347	597
797	2350	594
798	2353	591
799	2355	588
800	2357	585
801	2360	582
802	2363	579
803	2366	576
804	2368	573
805	2371	570
806	2374	567
807	2376	564
808	2380	561
809	2383	559
810	2385	556
811	2388	553
812	2393	550
813	2396	547
814	2398	544
815	2401	541
816	2403	538
817	2406	535
818	2409	532
819	2412	529
820	2415	526
821	2417	523
822	2420	520
823	2424	517
824	2427	514
825	2429	511
826	2432	508
827	2435	505
828	2438	503
829	2441	499
830	2443	496
831	2446	494
832	2449	490
833	2452	488
834	2455	485
835	2458	482
836	2461	479
837	2463	476
838	2466	473
839	2469	470
840	2472	467
841	2475	464
842	2477	461
843	2480	458
844	2483	455
845	2486	452
846	2488	449
847	2491	446
848	2494	443
849	2497	440
850	2500	437
851	2503	434
852	2505	431
853	2508	428
854	2510	425
855	2513	422
856	2516	419
857	2518	416
858	2521	413
859	2524	410
860	2527	408
861	2531	405
862	2533	402
863	2536	399
864	2539	396
865	2542	393
866	2545	390
867	2548	387
868	2550	384
869	2553	381
870	2556	378
871	2559	375
872	2561	372
873	2565	369
874	2567	366
875	2570	363
876	2573	360
877	2576	358
878	2579	355
879	2582	352
880	2585	349
881	2587	346
882	2591	343
883	2594	340
884	2596	337
885	2599	334
886	2602	331
887	2605	328
888	2608	325
889	2610	322
890	2613	319
891	2615	316
892	2618	313
893	2621	310
894	2624	307
895	2627	304
896	2629	301
897	2632	299
898	2636	296
899	2639	293
900	2642	290
901	2645	287
902	2647	284
903	2652	281
904	2654	278
905	2657	275
906	2660	272
907	2662	269
908	2666	266
909	2668	263
910	2671	260
911	2673	258
912	2676	255
913	2679	252
914	2682	249
915	2685	246
916	2687	243
917	2690	240
918	2693	237
919	2695	234
920	2699	231
921	2701	228
922	2704	225
923	2707	222
924	2710	219
925	2713	216
926	2715	213
927	2718	210
928	2720	207
929	2723	204
930	2726	202
931	2730	199
932	2732	196
933	2735	193
934	2738	190
935	2741	187
936	2744	184
937	2746	181
938	2749	178
939	2752	175
940	2754	172
941	2758	169
942	2760	166
943	2763	163
944	2766	161
945	2768	158
946	2772	155
947	2775	152
948	2778	149
949	2780	146
950	2783	143
951	2786	140
952	2789	137
953	2792	134
954	2795	131
955	2798	128
956	2800	125
957	2804	122
958	2807	120
959	2810	117
960	2812	114
961	2815	111
962	2818	108
963	2822	105
964	2824	102
965	2828	99
966	2831	96
967	2834	93
968	2836	90
969	2839	87
970	2842	84
971	2845	81
972	2847	79
973	2850	76
974	2853	73
975	2856	70
976	2859	67
977	2862	64
978	2866	61
979	2869	58
980	2872	55
981	2875	52
982	2877	49
983	2881	46
984	2883	43
985	2886	40
986	2889	38
987	2892	35
988	2895	32
989	2898	29
990	2901	26
991	2903	23
992	2906	20
993	2910	17
994	2912	14
995	2915	11
996	2918	8
997	2921	5
998	2924	2
999	2927	0
